"metric_1","metric_2","user"
210,18,"1"
211,19,"1"
3,1,"1"
21,1,"1"
1,1,"1"
13,1,"1"
3,3,"1"
8,1,"1"
33,1,"1"
5,1,"1"
33.2,1,"2"
39.1,1,"2"
42.3,1,"2"
42.4,1,"2"
81,1,"2"
72.4,1,"2"
42.5,1,"2"
87,1,"2"
42.6,1,"2"
42.7,1,"2"
72.6,1,"2"
27,1,"2"
42.3,1,"2"
70.1,2,"2"
93,1,"2"
95.1,1,"2"
102,2,"2"
51.5,1,"2"
102.1,1,"2"
82,1,"2"
91.5,1,"2"
102,1,"2"
104,2,"2"
2,1,"2"
4,1,"2"
5.6,1,"2"
5.7,1,"2"
42.1,1,"2"
160,2,"2"
19,10,"3"
104,11,"3"
106,13,"3"
60,16,"3"
257,7,"3"
253,8,"3"
254,13,"3"
37,7,"3"
50,3,"3"
59,2,"3"
252,35,"3"
250,39,"3"
90,41,"3"
133,4,"3"
320,20,"3"
320,20,"3"
170,5,"3"
254,60,"3"
271,48,"3"
18,9,"3"
272,48,"3"
54,1,"3"
43,11,"3"
290,20,"3"
50,1,"3"
111,2.5,"3"
142,12,"3"
50,1,"3"
4.5,20,"3"
140,2,"3"
8,20,"3"
102,2,"3"
44,4,"3"
172,9,"3"
299,20,"3"
55,8,"3"
61,6,"3"
139,10,"3"
112,4,"3"
131,12,"3"
171,6,"3"
250,20,"3"
132,3,"3"
127,3.5,"3"
33,6,"4"
49,14,"4"
230,20,"4"
220,21,"4"
100,20,"4"
139,6,"4"
31,10,"5"
32,11,"5"
36,15,"5"
40,17,"5"
103,23,"5"
53.5,26,"5"
28,1,"6"
108,6,"6"
217,26,"6"
14,1,"6"
61,11,"6"
210,18,"6"
39,24,"6"
223,28,"6"
86,36,"6"
51,3,"6"
219,44,"6"
125,45,"6"
219,48,"6"
229,12,"6"
101,3.1,"6"
42.01,1,"7"
33.1,1,"7"
120,9,"7"
119,7,"7"
1.46,17,"7"
1.78,19.8,"7"
1.85,20.5,"7"
28,1,"7"
23,5,"7"
24,5.1,"7"
58,6,"7"
29,6.001,"7"
25,6.002,"7"
26,6.003,"7"
27,6.004,"7"
59,6.1,"7"
29.5,6.5,"7"
65,7,"7"
66,7.1,"7"
67,7.2,"7"
69,7.5,"7"
80,8,"7"
120,10,"7"
10,4,"8"
255,15,"8"
256,16,"8"
7,1,"8"
8,2,"8"
16,5,"8"
41,6,"8"
11,11,"8"
41.7,17,"8"
9,3,"8"
58,69,"8"
1,1,"9"
257,24.5,"9"
1,1,"9"
2,2,"9"
3,3,"9"
4,4,"9"
5,5,"9"
43.51,3.5,"9"
43.52,3.6,"9"
8,8,"9"
12,12,"9"
58.5,5.5,"9"
58.6,6.2,"9"
116,5,"9"
111.5,19.1,"9"
17,17,"9"
7,8.5,"9"
44.14,3.8,"9"
125,22,"9"
111.5,19.1,"9"
58.6,6.2,"9"
108,7,"9"
56.5,7.6,"9"
6,1,"9"
119,8,"9"
113,19.1,"9"
111.5,19.1,"9"
111.5,19.1,"9"
116,1.5,"9"
117,33,"9"
115.5,4.9,"9"
150,8.5,"9"
37,19.2,"9"
38,19.1,"9"
20,3,"9"
23,29,"9"
268,15,"9"
1,1,"9"
4,4,"9"
9,9,"9"
8.2,8.2,"9"
10,10,"9"
12,12,"9"
13,13,"9"
5,5,"9"
9,9,"9"
7,7,"9"
1,15,"9"
1.45,16,"9"
14.5,1.5,"9"
58.6,6.2,"9"
14,14,"9"
1.788,19.82,"9"
1.71,19.2,"9"
124,11,"9"
1.82,20.01,"9"
1.8,20,"9"
1.7,19,"9"
118,6.002,"9"
60,9.5,"9"
115.6,4.95,"9"
117,5.1,"9"
1.85,20.5,"9"
1.77,19.6,"9"
1.47,18,"9"
1.84,20.1,"9"
91,26,"9"
1.789,19.99,"9"
1.87,21,"9"
7,1.1,"9"
27,6.004,"9"
93,28,"9"
290,3.2,"9"
191,14,"9"
1.783,19.81,"9"
1.77,19.6,"9"
1.75,19.5,"9"
1.1,15.5,"9"
1.775,19.7,"9"
33,1,"10"
10,1,"10"
43,1,"10"
232,1,"10"
65,2,"10"
65,2,"10"
44,1,"10"
52,1,"10"
23,1,"10"
43,1,"10"
25,1,"10"
43,1,"10"
43,1,"10"
43,1,"10"
50,1,"10"
50,1,"10"
35,1,"10"
26,1,"10"
25,1,"10"
1,1,"10"
27,1,"10"
34,1,"10"
2,1,"10"
1,1,"10"
10,1,"10"
1,1,"10"
50,1,"10"
1,1,"10"
1,1,"10"
43,1,"10"
43,1,"10"
43,1,"10"
55,1,"10"
14,1,"10"
51,1,"10"
42,1,"10"
102,1,"10"
102,1,"10"
48,1,"10"
12,1,"10"
41,1,"10"
48,1,"10"
100,1,"10"
52,1,"10"
65,1,"10"
65,1,"10"
65,1,"10"
100,1,"10"
100,1,"10"
65,1,"10"
65,1,"10"
65,1,"10"
60,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
85,1,"10"
52,1,"10"
48,1,"10"
63,1,"10"
43,1,"10"
50,1,"10"
43,1,"10"
49,1,"10"
34,1,"10"
30,1,"10"
25,1,"10"
17,1,"10"
60,1,"10"
2,1,"10"
2,1,"10"
33,6,"10"
33,14.6,"10"
9,1,"10"
37,1,"10"
53,1,"10"
26,1,"10"
26,14,"10"
25,1,"10"
50,1,"10"
65,1,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
14,14,"10"
39,1,"10"
1,1,"10"
2,1,"10"
43,1,"10"
